Date,Open,High,Low,Close,Volume
2024-12-05,174.95776546503646,175.65615678272883,171.93471679976247,172.24400329589844,21356200
2024-12-06,171.6354044780067,174.6784115765489,171.4657962428472,174.30926513671875,21462400
2024-12-09,173.75989224042516,176.05723424799297,173.45023604553785,175.1682586669922,25389600
2024-12-10,182.6396622409938,186.14561898038454,180.8417298459591,184.9569854736328,54813000
2024-12-11,185.0968273042346,195.3849818086967,184.637364997593,195.1752166748047,67894100
2024-12-12,194.77567768503926,194.9554633024938,191.48946911126617,191.7391815185547,34817500
2024-12-13,190.7902570178538,192.50827955283287,189.42183794011777,189.6016387939453,25143500
2024-12-16,192.648128127054,198.77108139081074,192.39841571324646,196.43377685546875,44934900
2024-12-17,197.02308705872431,201.18828813489583,194.7556941593745,195.1951904296875,43504000
2024-12-18,194.99541962680925,196.77337069091053,187.52402890568504,188.18325805664062,34166100
2024-12-19,191.40955777871685,192.8079411518366,188.16329650997008,188.2931365966797,32265200
2024-12-20,185.56627599656574,192.66809720587494,185.00692266360085,191.18980407714844,63462900
2024-12-23,192.3984151157297,194.87557322669755,189.93125525567427,194.40611267089844,25675000
2024-12-24,194.61585613024195,195.8843994140625,193.55707797257898,195.8843994140625,10403300
2024-12-26,194.92550545907343,196.52367101490134,194.1564021929594,195.375,12046600
2024-12-27,194.72573696465102,195.09532170060632,190.43068040496257,192.5382537841797,18891400
2024-12-30,189.58165840021294,192.32849481864238,188.90243274221342,191.02000427246094,14264700
2024-12-31,190.8601960597075,191.73918864322025,188.29314510160168,189.08224487304688,17466900
2025-01-02,190.43067970164262,191.7791328258186,187.2843094002135,189.2120819091797,20370800
2025-01-03,191.14985143368122,192.9877463613902,189.76145103861666,191.56936645507812,18596200
2025-01-06,193.75684931380115,197.99197728329852,193.6270092243641,196.64352416992188,29563600
2025-01-07,196.8832529983184,200.7687774852745,194.37614589069548,195.26512145996094,26487200
2025-01-08,192.3484808074723,196.06418741382137,192.1586969389352,193.7268829345703,24864800
2025-01-10,194.07648645979594,196.29393386115163,190.09107094303815,191.81907653808594,26665200
2025-01-13,189.8513620671916,190.96007055747594,187.14447278422705,190.79026794433594,21823700
2025-01-14,191.02000242961614,191.75914137705388,188.0933651847724,189.4418182373047,17174900
2025-01-15,192.8678659974796,196.1341084636535,191.6392852545324,195.32504272460938,21776000
2025-01-16,193.91666057341888,195.2551153784116,192.58818877757312,192.68807983398438,17815400
2025-01-17,196.3039099407615,197.00310160992169,193.52710928235737,195.77452087402344,27735100
2025-01-21,198.84100497169504,202.05728678766425,197.6423732117847,197.82217407226562,29971300
2025-01-22,198.83100862292844,200.24937329507208,197.30276987978317,198.1417999267578,26200600
2025-01-23,197.91206263871854,200.06958147081755,194.97544232412307,197.7522430419922,26951400
2025-01-24,197.87211722888603,200.66888399183227,197.77222616967978,199.9796905517578,23877500
2025-01-27,192.18865606918456,196.65351502081776,190.5105808080997,191.58934020996094,41728900
2025-01-28,192.52826307792662,195.2551182563093,190.4606370613745,195.07533264160156,24157900
2025-01-29,195.33503253066368,196.5636133163606,193.20747792712066,195.18521118164062,18218300
2025-01-30,197.7722225159478,201.16830508891937,197.44260031613962,200.638916015625,24354700
2025-01-31,201.76762828746982,205.24362078448016,201.56786140671954,203.78530883789062,32042000
2025-02-03,200.45913255035472,203.5156099470352,199.8698149328218,200.99850463867188,27838300
2025-02-04,203.15602747619252,206.81182081300247,202.57669285659674,206.14259338378906,43856400
2025-02-05,190.85021363044225,192.52827375908595,187.81370210065404,191.1099090576172,70373900
2025-02-06,189.28200260132084,191.87901770448227,188.50290111861952,191.3795928955078,29297400
2025-02-07,190.83022332592188,190.9600634127379,183.02921021692137,185.1267852783203,49315000
